pincode,taluk,districtname,statename
744112,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744102,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744102,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744101,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744103,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744101,Portblair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744101,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744104,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744201,Rangat,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744107,Ferrargunj,South Andaman,ANDAMAN & NICOBAR ISLANDS
744302,Nancowrie,Nicobar,ANDAMAN & NICOBAR ISLANDS
744301,Carnicobar,Nicobar,ANDAMAN & NICOBAR ISLANDS
744202,Diglipur,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744105,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744102,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744211,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744207,Hut Bay,South Andaman,ANDAMAN & NICOBAR ISLANDS
744103,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744209,Rangat,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744304,Nancowrie,Nicobar,ANDAMAN & NICOBAR ISLANDS
744203,Rangat,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744204,Mayabander,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744303,Nancowrie,Nicobar,ANDAMAN & NICOBAR ISLANDS
744210,Port Blair,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744205,Rangat,North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS
744106,Port Blair,South Andaman,ANDAMAN & NICOBAR ISLANDS
744206,Ferrargunj,South Andaman,ANDAMAN & NICOBAR ISLANDS
518004,Kurnool,Kurnool,ANDHRA PRADESH
518002,Kurnool,Kurnool,ANDHRA PRADESH
518002,Kurnool,Kurnool,ANDHRA PRADESH
518001,Kurnool,Kurnool,ANDHRA PRADESH
518003,Kurnool,Kurnool,ANDHRA PRADESH
518002,Kurnool,Kurnool,ANDHRA PRADESH
518004,Kurnool,Kurnool,ANDHRA PRADESH
518002,Kurnool,Kurnool,ANDHRA PRADESH
518004,Kurnool,Kurnool,ANDHRA PRADESH
518006,Kurnool,Kurnool,ANDHRA PRADESH
518302,Kurnool,Kurnool,ANDHRA PRADESH
518301,Adoni,Kurnool,ANDHRA PRADESH
518301,Adoni,Kurnool,ANDHRA PRADESH
518301,Adoni,Kurnool,ANDHRA PRADESH
518301,Adoni,Kurnool,ANDHRA PRADESH
518395,Kurnool,Kurnool,ANDHRA PRADESH
518347,Kurnool,Kurnool,ANDHRA PRADESH
518348,Kurnool,Kurnool,ANDHRA PRADESH
518333,Kurnool,Kurnool,ANDHRA PRADESH
518346,Kurnool,Kurnool,ANDHRA PRADESH
518308,Kurnool,Kurnool,ANDHRA PRADESH
518350,Kurnool,Kurnool,ANDHRA PRADESH
518344,Kurnool,Kurnool,ANDHRA PRADESH
518385,Kurnool,Kurnool,ANDHRA PRADESH
518345,Kurnool,Kurnool,ANDHRA PRADESH
518343,Kurnool,Kurnool,ANDHRA PRADESH
518396,Kurnool,Kurnool,ANDHRA PRADESH
518380,Pattikonda,Kurnool,ANDHRA PRADESH
518323,Kurnool,Kurnool,ANDHRA PRADESH
518390,Kurnool,Kurnool,ANDHRA PRADESH
518360,Kurnool,Kurnool,ANDHRA PRADESH
518360,Adoni,Kurnool,ANDHRA PRADESH
518533,Kurnool,Kurnool,ANDHRA PRADESH
518313,Kurnool,Kurnool,ANDHRA PRADESH
518422,Kurnool,Kurnool,ANDHRA PRADESH
518462,Kurnool,Kurnool,ANDHRA PRADESH
518599,Kurnool,Kurnool,ANDHRA PRADESH
518432,Kurnool,Kurnool,ANDHRA PRADESH
518206,Kurnool,Kurnool,ANDHRA PRADESH
518465,Kurnool,Kurnool,ANDHRA PRADESH
518222,Kurnool,Kurnool,ANDHRA PRADESH
518222,Kurnool,Kurnool,ANDHRA PRADESH
518225,Kurnool,Kurnool,ANDHRA PRADESH
518508,Kurnool,Kurnool,ANDHRA PRADESH
518452,Kurnool,Kurnool,ANDHRA PRADESH
518463,Gonegandla,Kurnool,ANDHRA PRADESH
518466,Kurnool,Kurnool,ANDHRA PRADESH
518220,Kurnool,Kurnool,ANDHRA PRADESH
518464,Kodumur,Kurnool,ANDHRA PRADESH
518411,Kurnool,Kurnool,ANDHRA PRADESH
518467,Kurnool,Kurnool,ANDHRA PRADESH
518405,Kurnool,Kurnool,ANDHRA PRADESH
518401,Kurnool,Kurnool,ANDHRA PRADESH
518401,Kurnool,Kurnool,ANDHRA PRADESH
518442,Kurnool,Kurnool,ANDHRA PRADESH
518221,Peapally,Kurnool,ANDHRA PRADESH
518468,Kurnool,Kurnool,ANDHRA PRADESH
518412,Pagidyala,Kurnool,ANDHRA PRADESH
518598,Kurnool,Kurnool,ANDHRA PRADESH
518101,Kurnool,Kurnool,ANDHRA PRADESH
518102,Srisailam,Kurnool,ANDHRA PRADESH
518218,Kurnool,Kurnool,ANDHRA PRADESH
518216,Kurnool,Kurnool,ANDHRA PRADESH
518010,Kurnool,Kurnool,ANDHRA PRADESH
518005,Kurnool,Kurnool,ANDHRA PRADESH
518001,Kurnool,Kurnool,ANDHRA PRADESH
518004,Kurnool,Kurnool,ANDHRA PRADESH
518001,Kurnool,Kurnool,ANDHRA PRADESH
518001,Kurnool,Kurnool,ANDHRA PRADESH
521180,Krishna,Krishna,ANDHRA PRADESH
521250,Krishna,Krishna,ANDHRA PRADESH
520008,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521229,Krishna,Krishna,ANDHRA PRADESH
521246,Krishna,Krishna,ANDHRA PRADESH
521164,Krishna,Krishna,ANDHRA PRADESH
521228,Krishna,Krishna,ANDHRA PRADESH
521457,Krishna,Krishna,ANDHRA PRADESH
521165,Vuyyuru,Krishna,ANDHRA PRADESH
520011,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521256,Krishna,Krishna,ANDHRA PRADESH
521247,Krishna,Krishna,ANDHRA PRADESH
521183,Krishna,Krishna,ANDHRA PRADESH
521107,Krishna,Krishna,ANDHRA PRADESH
521230,Krishna,Krishna,ANDHRA PRADESH
521185,Krishna,Krishna,ANDHRA PRADESH
521212,Krishna,Krishna,ANDHRA PRADESH
521286,Krishna,Krishna,ANDHRA PRADESH
521190,Krishna,Krishna,ANDHRA PRADESH
520003,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521241,Krishna,Krishna,ANDHRA PRADESH
520011,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521163,Krishna,Krishna,ANDHRA PRADESH
520001,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520001,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521456,Ibrahimpatnam,Krishna,ANDHRA PRADESH
521402,Krishna,Krishna,ANDHRA PRADESH
521170,Krishna,Krishna,ANDHRA PRADESH
521165,Krishna,Krishna,ANDHRA PRADESH
520001,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520002,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520007,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520011,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520010,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520002,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520002,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520004,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520007,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521151,Krishna,Krishna,ANDHRA PRADESH
520013,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521153,Vuyyuru,Krishna,ANDHRA PRADESH
520004,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520010,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521104,Vijayawada,Krishna,ANDHRA PRADESH
520013,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520010,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521139,Krishna,Krishna,ANDHRA PRADESH
521137,Krishna,Krishna,ANDHRA PRADESH
520010,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521108,Vijayawada (Rural),Krishna,ANDHRA PRADESH
520002,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520008,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521403,Krishna,Krishna,ANDHRA PRADESH
521401,Krishna,Krishna,ANDHRA PRADESH
521109,Krishna,Krishna,ANDHRA PRADESH
521235,Krishna,Krishna,ANDHRA PRADESH
521110,Krishna,Krishna,ANDHRA PRADESH
520010,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521245,Krishna,Krishna,ANDHRA PRADESH
520003,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520012,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520008,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520015,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521211,Krishna,Krishna,ANDHRA PRADESH
521102,Krishna,Krishna,ANDHRA PRADESH
520012,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521182,Krishna,Krishna,ANDHRA PRADESH
521178,Krishna,Krishna,ANDHRA PRADESH
520001,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520003,Vijayawada (Urban),Krishna,ANDHRA PRADESH
520003,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521101,Krishna,Krishna,ANDHRA PRADESH
521225,Krishna,Krishna,ANDHRA PRADESH
521456,Krishna,Krishna,ANDHRA PRADESH
521175,Krishna,Krishna,ANDHRA PRADESH
521181,Krishna,Krishna,ANDHRA PRADESH
520012,Vijayawada (Urban),Krishna,ANDHRA PRADESH
521227,Krishna,Krishna,ANDHRA PRADESH
522329,Bapatla,Guntur,ANDHRA PRADESH
521165,Vuyyuru,Krishna,ANDHRA PRADESH
533223,Kothapeta Taluk,East Godavari,ANDHRA PRADESH
533229,Kothapeta Taluk,East Godavari,ANDHRA PRADESH
516360,Proddatur,Cuddapah,ANDHRA PRADESH
516421,Pulivendla,Cuddapah,ANDHRA PRADESH
516484,Pulivendla,Cuddapah,ANDHRA PRADESH
516289,Kamalapuram,Cuddapah,ANDHRA PRADESH
516396,Pulivendla,Cuddapah,ANDHRA PRADESH
516218,Cuddapah,Cuddapah,ANDHRA PRADESH
516339,Kamalapuram,Cuddapah,ANDHRA PRADESH
516216,Cuddapah,Cuddapah,ANDHRA PRADESH
516454,Pulivedla,Cuddapah,ANDHRA PRADESH
516350,Pulivendla,Cuddapah,ANDHRA PRADESH
516474,Muddanur,Cuddapah,ANDHRA PRADESH
516401,Pulivendla,Cuddapah,ANDHRA PRADESH
516329,Pulivendla,Cuddapah,ANDHRA PRADESH
516293,Cuddapah,Cuddapah,ANDHRA PRADESH
516349,Pulivendla,Cuddapah,ANDHRA PRADESH
516444,Muddanur,Cuddapah,ANDHRA PRADESH
516321,Kamalapuram,Cuddapah,ANDHRA PRADESH
516390,Pulivendla,Cuddapah,ANDHRA PRADESH
516391,Pulivendla,Cuddapah,ANDHRA PRADESH
516464,Muddanur,Cuddapah,ANDHRA PRADESH
516310,Kamalapuram,Cuddapah,ANDHRA PRADESH
516433,Jammalmadugu,Cuddapah,ANDHRA PRADESH
516431,Proddatur,Cuddapah,ANDHRA PRADESH
516175,Proddatur,Cuddapah,ANDHRA PRADESH
516434,Jammalamadugu,Cuddapah,ANDHRA PRADESH
516434,Jammalamadugu,Cuddapah,ANDHRA PRADESH
516362,Proddatur,Cuddapah,ANDHRA PRADESH
516359,Proddatur,Cuddapah,ANDHRA PRADESH
516360,Proddatur,Cuddapah,ANDHRA PRADESH
516360,Proddatur,Cuddapah,ANDHRA PRADESH
516380,Muddanur,Cuddapah,ANDHRA PRADESH
516439,Mylavaram,Cuddapah,ANDHRA PRADESH
516172,Proddatur,Cuddapah,ANDHRA PRADESH
516173,Proddatur,Cuddapah,ANDHRA PRADESH
516411,Jammalamadugu,Cuddapah,ANDHRA PRADESH
516360,Proddatur,Cuddapah,ANDHRA PRADESH
516360,Proddatur,Cuddapah,ANDHRA PRADESH
516432,Jammalamadugu,Cuddapah,ANDHRA PRADESH
516309,Kamalapuram,Cuddapah,ANDHRA PRADESH
516309,Yerraguntla,Cuddapah,ANDHRA PRADESH
516361,Proddatur,Cuddapah,ANDHRA PRADESH
516434,Jammalamadugu,Cuddapah,ANDHRA PRADESH
516355,Proddatur,Cuddapah,ANDHRA PRADESH
516311,Yerraguntla,Cuddapah,ANDHRA PRADESH
516312,Yerraguntla,Cuddapah,ANDHRA PRADESH
518217,NA,Kurnool,ANDHRA PRADESH
516360,Proddatur,Cuddapah,ANDHRA PRADESH
522004,Guntur,Guntur,ANDHRA PRADESH
522201,NA,Guntur,ANDHRA PRADESH
530048,Visakhapatnam (Rural),Visakhapatnam,ANDHRA PRADESH
522265,Repalle,Guntur,ANDHRA PRADESH
531036,Chodavaram,Visakhapatnam,ANDHRA PRADESH
530016,Visakhapatnam (Urban),Visakhapatnam,ANDHRA PRADESH
530020,Visakhapatnam (Urban),Visakhapatnam,ANDHRA PRADESH
530017,Visakhapatnam (Urban),Visakhapatnam,ANDHRA PRADESH
530002,Visakhapatnam (Urban),Visakhapatnam,ANDHRA PRADESH
531019,Paravada,Visakhapatnam,ANDHRA PRADESH
530052,NA,Visakhapatnam,ANDHRA PRADESH
530051,Pendurthi,Visakhapatnam,ANDHRA PRADESH
530049,Visakhapatnam (Rural),Visakhapatnam,ANDHRA PRADESH
515413,Tadpatri,Ananthapur,ANDHRA PRADESH
515722,NA,Ananthapur,ANDHRA PRADESH
532410,Etcherla,Srikakulam,ANDHRA PRADESH
535006,Denkada,Vizianagaram,ANDHRA PRADESH
518007,Kurnool,Kurnool,ANDHRA PRADESH
518674,Allagadda,Kurnool,ANDHRA PRADESH
516356,Chapad,Cuddapah,ANDHRA PRADESH
516360,Proddatur,Cuddapah,ANDHRA PRADESH
516002,Cuddapah,Cuddapah,ANDHRA PRADESH
515202,Hindupur,Ananthapur,ANDHRA PRADESH
515134,Puttaparthi,Ananthapur,ANDHRA PRADESH
522005,Guntur,Guntur,ANDHRA PRADESH
535213,Denkada,Vizianagaram,ANDHRA PRADESH
522102,Bapatla,Guntur,ANDHRA PRADESH
530003,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530003,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530003,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530003,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530001,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530022,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530002,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530001,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530004,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530016,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530012,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530004,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530008,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530009,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530007,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530005,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530014,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
530032,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
521226,A.Konduru,Krishna,ANDHRA PRADESH
530002,Visakhapatnam,Visakhapatnam,ANDHRA PRADESH
521202,Nuzvid,Krishna,ANDHRA PRADESH
530009,Visakhapatnam Rural,Visakhapatnam,ANDHRA PRADESH
518349,Tuggali,Kurnool,ANDHRA PRADESH
535594,Jiyyammavalsa,Vizianagaram,ANDHRA PRADESH
521201,Nuzvid,Krishna,ANDHRA PRADESH
517645,Srikalahasti,Chittoor,ANDHRA PRADESH
524002,Nellore,Nellore,ANDHRA PRADESH
515134,Puttaparthy,Ananthapur,ANDHRA PRADESH
521134,Penamaluru Mandal,Krishna,ANDHRA PRADESH
522009,Medikonduru,Guntur,ANDHRA PRADESH
532203,Tekkali Mandal,Srikakulam,ANDHRA PRADESH
530053,Gajuwaka,Visakhapatnam,ANDHRA PRADESH
532186,Amadalavalasa,Srikakulam,ANDHRA PRADESH
533428,Addatigala,East Godavari,ANDHRA PRADESH
533401,Tuni,East Godavari,ANDHRA PRADESH
533406,Sankhavaram,East Godavari,ANDHRA PRADESH
533449,Gollaprolu,East Godavari,ANDHRA PRADESH
533430,Prathipadu,East Godavari,ANDHRA PRADESH
533445,Gollaprolu,East Godavari,ANDHRA PRADESH
533435,Jaggampeta,East Godavari,ANDHRA PRADESH
533431,Kirlampudi,East Godavari,ANDHRA PRADESH
533407,Kotananduru,East Godavari,ANDHRA PRADESH
533447,Kothapalli,East Godavari,ANDHRA PRADESH
533450,Pithapuram,East Godavari,ANDHRA PRADESH
533433,Pithapuram,East Godavari,ANDHRA PRADESH
533437,Peddapuram,East Godavari,ANDHRA PRADESH
533437,Peddapuram,East Godavari,ANDHRA PRADESH
533450,Pithapuram,East Godavari,ANDHRA PRADESH
533450,Pithapuram,East Godavari,ANDHRA PRADESH
533432,Prathipadu,East Godavari,ANDHRA PRADESH
533436,Rajavommangi,East Godavari,ANDHRA PRADESH
533291,Rangampeta,East Godavari,ANDHRA PRADESH
533440,Samalkota,East Godavari,ANDHRA PRADESH
533440,Samalkota,East Godavari,ANDHRA PRADESH
533446,Sankhavaram,East Godavari,ANDHRA PRADESH
533408,Thondangi,East Godavari,ANDHRA PRADESH
533401,Tuni,East Godavari,ANDHRA PRADESH
533401,Tuni,East Godavari,ANDHRA PRADESH
533448,Kothapalli,East Godavari,ANDHRA PRADESH
533434,Samalkot,East Godavari,ANDHRA PRADESH
533429,Yeleswaram,East Godavari,ANDHRA PRADESH
533483,Y Ramavaram,East Godavari,ANDHRA PRADESH
533005,Kakinada (Urban),East Godavari,ANDHRA PRADESH
533005,Kakinada (Urban),East Godavari,ANDHRA PRADESH
533003,Kakinada (Urban),East Godavari,ANDHRA PRADESH
533002,Kakinada (Urban),East Godavari,ANDHRA PRADESH
533461,Tallarevu,East Godavari,ANDHRA PRADESH
533003,Kakinada (Urban),East Godavari,ANDHRA PRADESH
533004,Kakinada (Urban),East Godavari,ANDHRA PRADESH
533001,Kakinada (Urban),East Godavari,ANDHRA PRADESH
533468,Kajuluru,East Godavari,ANDHRA PRADESH
533348,Y Ramavaram,East Godavari,ANDHRA PRADESH
533351,Yatapaka,East Godavari,ANDHRA PRADESH
533347,Chintoor Mandal,East Godavari,ANDHRA PRADESH
533352,Yatapaka,East Godavari,ANDHRA PRADESH
522612,Durgi,Guntur,ANDHRA PRADESH
522658,Ipuru,Guntur,ANDHRA PRADESH
522614,Karempudi,Guntur,ANDHRA PRADESH
522647,Narasaraopet,Guntur,ANDHRA PRADESH
522661,Vinukonda,Guntur,ANDHRA PRADESH
522601,Narasaraopet,Guntur,ANDHRA PRADESH
522615,Nekarikallu,Guntur,ANDHRA PRADESH
522601,Narasaraopet,Guntur,ANDHRA PRADESH
522647,Narasaraopet,Guntur,ANDHRA PRADESH
522660,Nuzendla,Guntur,ANDHRA PRADESH
522649,Narasaraopet,Guntur,ANDHRA PRADESH
522529,Phirangipuram,Guntur,ANDHRA PRADESH
522601,Narasaraopet,Guntur,ANDHRA PRADESH
522603,Narasaraopet,Guntur,ANDHRA PRADESH
522617,Rompicherla,Guntur,ANDHRA PRADESH
522549,Nadendla,Guntur,ANDHRA PRADESH
522659,Nuzendla,Guntur,ANDHRA PRADESH
522646,Savalyapuram,Guntur,ANDHRA PRADESH
522657,Vinukonda,Guntur,ANDHRA PRADESH
522647,Vinukonda,Guntur,ANDHRA PRADESH
522616,Narasaraopet,Guntur,ANDHRA PRADESH
522233,Edlapadu,Guntur,ANDHRA PRADESH
522619,Nadendla,Guntur,ANDHRA PRADESH
522611,Chilakaluripet,Guntur,ANDHRA PRADESH
522616,Narasaraopet,Guntur,ANDHRA PRADESH
522626,Chilakaluripet,Guntur,ANDHRA PRADESH
522234,Nadendla,Guntur,ANDHRA PRADESH
522616,Narasaraopet,Guntur,ANDHRA PRADESH
522409,Atchampet,Guntur,ANDHRA PRADESH
522411,Bellamkonda,Guntur,ANDHRA PRADESH
522437,Sattenapalle,Guntur,ANDHRA PRADESH
522414,Dachepalle,Guntur,ANDHRA PRADESH
522403,Sattenapalle,Guntur,ANDHRA PRADESH
522415,Gurazalla,Guntur,ANDHRA PRADESH
522410,Krosuru,Guntur,ANDHRA PRADESH
522426,Macherla,Guntur,ANDHRA PRADESH
522435,Sattenapalle,Guntur,ANDHRA PRADESH
522438,Medikonduru,Guntur,ANDHRA PRADESH
522408,Muppalla,Guntur,ANDHRA PRADESH
522436,Pedakurapadu,Guntur,ANDHRA PRADESH
522402,Pedakurpadu,Guntur,ANDHRA PRADESH
522413,Piduguralla,Guntur,ANDHRA PRADESH
522426,Narasaraopet,Guntur,ANDHRA PRADESH
522412,Rajupalem,Guntur,ANDHRA PRADESH
522421,Rentachintala,Guntur,ANDHRA PRADESH
522401,Medikonduru,Guntur,ANDHRA PRADESH
522613,Veldurthy,Guntur,ANDHRA PRADESH
522439,Macherla,Guntur,ANDHRA PRADESH
523111,Kanigiri,Prakasam,ANDHRA PRADESH
523117,Kanigiri,Prakasam,ANDHRA PRADESH
523228,Kanigiri,Prakasam,ANDHRA PRADESH
523230,Kanigiri,Prakasam,ANDHRA PRADESH
523252,Kanigiri,Prakasam,ANDHRA PRADESH
523254,Kanigiri,Prakasam,ANDHRA PRADESH
523253,Kanigiri,Prakasam,ANDHRA PRADESH
523224,Kanigiri,Prakasam,ANDHRA PRADESH
523201,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523180,Ongole,Prakasam,ANDHRA PRADESH
523226,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523280,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523182,Ongole,Prakasam,ANDHRA PRADESH
523303,Ongole,Prakasam,ANDHRA PRADESH
523171,NA,Prakasam,ANDHRA PRADESH
523155,Chirala,Prakasam,ANDHRA PRADESH
523135,Chirala,Prakasam,ANDHRA PRADESH
523157,Chirala,Prakasam,ANDHRA PRADESH
523190,Chirala,Prakasam,ANDHRA PRADESH
523167,Chirala,Prakasam,ANDHRA PRADESH
523166,Chirala,Prakasam,ANDHRA PRADESH
523165,Chirala,Prakasam,ANDHRA PRADESH
523181,Chirala,Prakasam,ANDHRA PRADESH
523168,Chirala,Prakasam,ANDHRA PRADESH
523156,Chirala,Prakasam,ANDHRA PRADESH
523184,Chirala,Prakasam,ANDHRA PRADESH
523169,Chirala,Prakasam,ANDHRA PRADESH
523157,Chirala,Prakasam,ANDHRA PRADESH
523157,Chirala,Prakasam,ANDHRA PRADESH
523157,Chirala,Prakasam,ANDHRA PRADESH
523187,Vetapalem,Prakasam,ANDHRA PRADESH
523155,Chirala,Prakasam,ANDHRA PRADESH
523185,Chirala,Prakasam,ANDHRA PRADESH
523170,Chirala,Prakasam,ANDHRA PRADESH
523187,Chirala,Prakasam,ANDHRA PRADESH
523281,Kandukur,Prakasam,ANDHRA PRADESH
523271,Kandukur,Prakasam,ANDHRA PRADESH
523105,Kandukur,Prakasam,ANDHRA PRADESH
523105,Kandukur,Prakasam,ANDHRA PRADESH
523270,Kandukur,Prakasam,ANDHRA PRADESH
523114,Kandukur,Prakasam,ANDHRA PRADESH
523115,Kandukur,Prakasam,ANDHRA PRADESH
523273,Kandukur,Prakasam,ANDHRA PRADESH
523113,Kandukur,Prakasam,ANDHRA PRADESH
523109,Kandukur,Prakasam,ANDHRA PRADESH
523291,Kandukur,Prakasam,ANDHRA PRADESH
523101,Kandukur,Prakasam,ANDHRA PRADESH
523274,Kandukur,Prakasam,ANDHRA PRADESH
523274,Tangutur,Prakasam,ANDHRA PRADESH
523292,Kandukur,Prakasam,ANDHRA PRADESH
523279,Kandukur,Prakasam,ANDHRA PRADESH
523116,Kandukur,Prakasam,ANDHRA PRADESH
523104,Kandukur,Prakasam,ANDHRA PRADESH
523110,Kanigiri,Prakasam,ANDHRA PRADESH
523112,Kanigiri,Prakasam,ANDHRA PRADESH
523247,Kanigiri,Prakasam,ANDHRA PRADESH
523246,Kanigiri,Prakasam,ANDHRA PRADESH
523227,Kanigiri,Prakasam,ANDHRA PRADESH
523241,Kanigiri,Prakasam,ANDHRA PRADESH
523304,Kanigiri,Prakasam,ANDHRA PRADESH
523223,Kanigiri,Prakasam,ANDHRA PRADESH
523265,Kanigiri,Prakasam,ANDHRA PRADESH
523108,Kanigiri,Prakasam,ANDHRA PRADESH
523245,Kanigiri,Prakasam,ANDHRA PRADESH
523286,Ongole,Prakasam,ANDHRA PRADESH
523002,Ongole,Prakasam,ANDHRA PRADESH
523002,Ongole,Prakasam,ANDHRA PRADESH
523211,Ongole,Prakasam,ANDHRA PRADESH
523002,Ongole,Prakasam,ANDHRA PRADESH
523301,Ongole,Prakasam,ANDHRA PRADESH
523212,Ongole,Prakasam,ANDHRA PRADESH
523261,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523183,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523213,Ongole,Prakasam,ANDHRA PRADESH
523302,Ongole,Prakasam,ANDHRA PRADESH
523225,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523264,Ongole,Prakasam,ANDHRA PRADESH
523263,Ongole,Prakasam,ANDHRA PRADESH
523262,Ongole,Prakasam,ANDHRA PRADESH
523001,Ongole,Prakasam,ANDHRA PRADESH
523186,Ongole,Prakasam,ANDHRA PRADESH
523260,Ongole,Prakasam,ANDHRA PRADESH
533101,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533104,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533103,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533339,Devipatnam,East Godavari,ANDHRA PRADESH
533292,Korukonda,East Godavari,ANDHRA PRADESH
533125,NA,East Godavari,ANDHRA PRADESH
533101,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533286,Gokavaram,East Godavari,ANDHRA PRADESH
533105,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533124,Rajahmundry Rural,East Godavari,ANDHRA PRADESH
533126,Kadiyam,East Godavari,ANDHRA PRADESH
533289,Korukonda,East Godavari,ANDHRA PRADESH
533290,Korukonda,East Godavari,ANDHRA PRADESH
533295,Maredumilli,East Godavari,ANDHRA PRADESH
533106,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533294,Rajanagaram,East Godavari,ANDHRA PRADESH
533288,Rampachodavaram,East Godavari,ANDHRA PRADESH
533103,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533105,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533287,Sithanagaram,East Godavari,ANDHRA PRADESH
533106,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533105,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
533103,Rajahmundry (Urban),East Godavari,ANDHRA PRADESH
